"Package","Version"
"abind","1.4-8"
"backports","1.5.0"
"base64enc","0.1-3"
"base64url","1.4"
"bit","4.6.0"
"bit64","4.6.0-1"
"boot","1.3-32"
"broom","1.0.11"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cellranger","1.1.0"
"cli","3.6.5"
"clipr","0.8.0"
"codetools","0.2-20"
"colorspace","2.1-2"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.3"
"crayon","1.5.3"
"curl","7.0.0"
"data.table","1.18.0"
"datawizard","1.3.0"
"Deriv","4.2.0"
"digest","0.6.39"
"doBy","4.7.1"
"dplyr","1.1.4"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.1"
"forecast","9.0.0"
"foreign","0.8-90"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.6"
"generics","0.1.4"
"ggplot2","4.0.1"
"ggpubr","0.6.2"
"ggrepel","0.9.6"
"ggsci","4.2.0"
"ggsignif","0.6.4"
"glue","1.8.0"
"gridExtra","2.3"
"gtable","0.3.6"
"haven","2.5.5"
"highr","0.11"
"hms","1.1.4"
"htmltools","0.5.9"
"igraph","2.2.1"
"insight","1.4.4"
"isoband","0.3.0"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"kableExtra","1.4.0"
"knitr","1.51"
"labeling","0.4.3"
"lattice","0.22-7"
"lifecycle","1.0.5"
"lme4","1.1-38"
"lmtest","0.9-40"
"magrittr","2.0.4"
"MASS","7.3-65"
"Matrix","1.7-4"
"MatrixModels","0.5-4"
"memoise","2.0.1"
"mgcv","1.9-3"
"microbenchmark","1.5.0"
"mime","0.13"
"minqa","1.2.8"
"modelr","0.1.11"
"nlme","3.1-168"
"nloptr","2.2.1"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"pbkrtest","0.5.5"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"polynom","1.4-1"
"prettyunits","1.2.0"
"processx","3.8.6"
"progress","1.2.3"
"ps","1.9.1"
"purrr","1.2.1"
"quadprog","1.5-8"
"quantmod","0.4.28"
"quantreg","6.1"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.0"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1"
"RcppArmadillo","15.2.3-1"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.4"
"readr","2.1.6"
"readxl","1.4.5"
"reformulas","0.4.3.1"
"rematch","2.0.0"
"renv","1.1.5"
"rio","1.2.4"
"rlang","1.1.7"
"rmarkdown","2.30"
"rstatix","0.7.3"
"rstudioapi","0.18.0"
"S7","0.2.1"
"sass","0.4.10"
"scales","1.4.0"
"secretbase","1.1.1"
"sjlabelled","1.2.0"
"SparseM","1.84-2"
"stringi","1.8.7"
"stringr","1.6.0"
"survival","3.8-3"
"svglite","2.2.2"
"systemfonts","1.3.1"
"targets","1.11.4"
"textshaping","1.0.4"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"timeDate","4051.111"
"tinytex","0.58"
"tseries","0.10-59"
"TTR","0.24.4"
"tzdb","0.5.0"
"urca","1.3-4"
"utf8","1.2.6"
"vctrs","0.7.0"
"viridisLite","0.4.2"
"vroom","1.6.7"
"vtable","1.4.8"
"withr","3.0.2"
"writexl","1.5.4"
"xfun","0.56"
"xml2","1.5.2"
"xts","0.14.1"
"yaml","2.3.12"
"zoo","1.8-15"
